Feature
1,ENSG00000243646
2,ENSG00000156265
3,ENSG00000185433
4,ENSG00000154727
5,ENSG00000142168
6,ENSG00000159147
7,ENSG00000278932
8,ENSG00000142192
9,ENSG00000237945
10,ENSG00000238197
11,ENSG00000156256
12,ENSG00000159131
13,ENSG00000142166
14,ENSG00000223799
15,ENSG00000142207
16,ENSG00000198862
17,ENSG00000156239
18,ENSG00000154723
19,ENSG00000154719
20,ENSG00000274391
21,ENSG00000205726
22,ENSG00000205758
23,ENSG00000159140
24,ENSG00000142188
25,ENSG00000205930
26,ENSG00000159086
27,ENSG00000159079
28,ENSG00000156261
29,ENSG00000156253
30,ENSG00000232855
31,ENSG00000154640
32,ENSG00000155313
33,ENSG00000155304
34,ENSG00000224905
35,ENSG00000155307
36,ENSG00000156299
37,ENSG00000234883
38,ENSG00000280594
39,ENSG00000198743
40,ENSG00000241837
41,ENSG00000159110
42,ENSG00000159082
43,ENSG00000166979
44,ENSG00000159055
45,ENSG00000156304
46,ENSG00000237484
47,ENSG00000185272
48,ENSG00000256073
49,ENSG00000156273
50,ENSG00000180530
51,ENSG00000273254
52,ENSG00000159128
53,ENSG00000243927
54,ENSG00000154642
